N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
54,한진칼,"78,500",0,0.00%,"2,500","46,449","59,170",17.42,0,-12.09,-17.56,
55,포스코케미칼,"76,000",0,0.00%,500,"46,351","60,988",7.35,0,89.62,11.57,
56,이마트,"155,000",0,0.00%,"5,000","43,208","27,876",31.45,0,7.78,2.76,
57,금호석유,"140,000",0,0.00%,"5,000","42,655","30,468",32.61,0,16.02,11.84,
58,현대제철,"31,750",0,0.00%,"5,000","42,369","133,446",18.80,0,-15.75,0.10,
59,한국타이어앤테크놀로지,"32,800",0,0.00%,500,"40,631","123,875",38.03,0,13.71,6.03,
60,한국금융지주,"72,200",0,0.00%,"5,000","40,234","55,726",30.93,0,6.83,18.14,
61,유한양행,"59,800",0,0.00%,"1,000","39,980","66,857",21.14,0,24.12,2.43,
62,아모레G,"48,000",0,0.00%,500,"39,580","82,458",20.03,0,65.48,4.12,
63,CJ대한통운,"170,000",0,0.00%,"5,000","38,781","22,812",22.07,0,42.91,1.41,
64,한미사이언스,"58,700",0,0.00%,500,"38,749","66,011",1.80,0,136.83,4.73,
65,맥쿼리인프라,"11,000",0,0.00%,0,"38,395","349,044",15.18,0,N/A,N/A,
66,LG이노텍,"157,500",0,0.00%,"5,000","37,276","23,667",35.84,0,16.30,4.73,
67,대한항공,"21,000",0,0.00%,"5,000","36,584","174,210",12.85,0,-3.13,-22.09,
68,SK케미칼,"305,000",0,0.00%,"5,000","35,811","11,741",12.44,0,15.69,1.51,
69,현대중공업지주,"226,500",0,0.00%,"5,000","35,784","15,799",17.64,0,-15.97,2.20,
70,현대건설,"31,900",0,0.00%,"5,000","35,522","111,356",20.20,0,10.56,6.30,
71,두산중공업,"13,700",0,0.00%,"5,000","34,680","253,141",7.51,0,-2.93,-14.73,
72,삼성카드,"29,650",0,0.00%,"5,000","34,352","115,859",9.77,0,9.17,5.04,
73,DB손해보험,"47,350",0,0.00%,500,"33,524","70,800",40.22,0,6.19,6.92,
74,삼성중공업,"5,200",0,0.00%,"5,000","32,760","630,000",14.87,0,-1.80,-21.88,
75,GS,"35,250",0,0.00%,"5,000","32,753","92,915",19.89,0,-29.16,6.26,
76,에스원,"85,900",0,0.00%,500,"32,641","37,999",55.60,0,22.07,11.32,
77,두산밥캣,"32,150",0,0.00%,500,"32,230","100,249",21.38,0,17.61,7.05,
78,한미약품,"271,000",0,0.00%,"2,500","32,095","11,843",13.96,0,89.03,7.30,
79,롯데지주,"30,050",0,0.00%,200,"31,525","104,909",11.15,0,-4.53,-5.21,
80,더존비즈온,"104,500",0,0.00%,500,"31,190","29,847",44.96,0,65.23,18.78,
81,삼성증권,"34,150",0,0.00%,"5,000","30,496","89,300",25.46,0,9.37,8.15,
82,호텔신라,"76,700",0,0.00%,"5,000","30,103","39,248",21.38,0,-40.56,20.16,
83,현대차2우B,"81,700",0,0.00%,"5,000","29,809","36,485",61.70,0,11.77,N/A,
84,한국가스공사,"32,250",0,0.00%,"5,000","29,771","92,313",8.58,0,-6.67,0.48,
85,동서,"28,900",0,0.00%,500,"28,813","99,700",5.55,0,20.94,10.53,
86,쌍용양회,"5,690",0,0.00%,"1,000","28,670","503,860",2.88,0,21.47,7.02,
87,대림산업,"81,600",0,0.00%,"5,000","28,397","34,800",38.28,0,4.59,11.74,
88,GS리테일,"36,100",0,0.00%,"1,000","27,797","77,000",16.10,0,16.64,6.25,
89,SKC,"73,700",0,0.00%,"5,000","27,663","37,535",8.76,0,26.70,3.86,
90,녹십자,"230,000",0,0.00%,"5,000","26,879","11,687",17.52,0,450.10,-0.35,
91,NH투자증권,"9,520",0,0.00%,"5,000","26,790","281,409",13.82,0,6.23,9.12,
92,롯데쇼핑,"93,100",0,0.00%,"5,000","26,337","28,289",11.53,0,-1.94,-8.14,
93,두산퓨얼셀,"46,450",0,0.00%,100,"25,777","55,494",10.80,0,70.81,N/A,
